SKU_ID,Month,On_Hand_Qty,On_Order_Qty,UOM,Warehouse,UOM_Clean,On_Order_Missing_Flag,On_Order_Qty_Clean
MM-1000,2025-08,331,117.0,PCS,WH-OHIO,PCS,0,117.0
MM-1000,2025-09,392,118.0,pcs,WH-OHIO,PCS,0,118.0
MM-1000,2025-10,324,19.0,pcs,WH-OHIO,PCS,0,19.0
MM-1000,2025-11,380,75.0,pcs,WH-OHIO,PCS,0,75.0
MM-1000,2025-12,499,5.0,Pcs,WH-OHIO,PCS,0,5.0
MM-1000,2026-01,471,259.0,PCS,WH-OHIO,PCS,0,259.0
MM-1000,2026-02,404,150.0,Pcs,WH-OHIO,PCS,0,150.0
MM-1000,2026-03,595,242.0,PCS,WH-OHIO,PCS,0,242.0
MM-1000,2026-04,516,247.0,Pcs,WH-OHIO,PCS,0,247.0
MM-1000,2026-05,351,19.0,Pcs,WH-OHIO,PCS,0,19.0
MM-1000,2026-06,0,149.0,pcs,WH-OHIO,PCS,0,149.0
MM-1000,2026-07,400,32.0,PCS,WH-OHIO,PCS,0,32.0
MM-1001,2025-08,0,259.0,ea.,WH-NEVADA,EA,0,259.0
MM-1001,2025-09,0,240.0,ea.,WH-NEVADA,EA,0,240.0
MM-1001,2025-10,0,,ea.,WH-NEVADA,EA,1,0.0
MM-1001,2025-11,334,115.0,EA,WH-NEVADA,EA,0,115.0
MM-1001,2025-12,0,60.0,Each,WH-NEVADA,EA,0,60.0
MM-1001,2026-01,302,220.0,Each,WH-NEVADA,EA,0,220.0
MM-1001,2026-02,0,49.0,EA,WH-NEVADA,EA,0,49.0
MM-1001,2026-03,0,194.0,ea.,WH-NEVADA,EA,0,194.0
MM-1001,2026-04,347,11.0,EA,WH-NEVADA,EA,0,11.0
MM-1001,2026-05,473,,each,WH-NEVADA,EA,1,0.0
MM-1001,2026-06,496,211.0,EA,WH-NEVADA,EA,0,211.0
MM-1001,2026-07,486,164.0,each,WH-NEVADA,EA,0,164.0
MM-1002,2025-08,384,200.0,each,WH-NEVADA,EA,0,200.0
MM-1002,2025-09,426,133.0,EA,WH-NEVADA,EA,0,133.0
MM-1002,2025-10,0,,ea.,WH-NEVADA,EA,1,0.0
MM-1002,2025-11,687,240.0,each,WH-NEVADA,EA,0,240.0
MM-1002,2025-12,642,128.0,ea.,WH-NEVADA,EA,0,128.0
MM-1002,2026-01,641,189.0,each,WH-NEVADA,EA,0,189.0
MM-1002,2026-02,638,53.0,ea.,WH-NEVADA,EA,0,53.0
MM-1002,2026-03,0,214.0,ea.,WH-NEVADA,EA,0,214.0
MM-1002,2026-04,380,154.0,Each,WH-NEVADA,EA,0,154.0
MM-1002,2026-05,667,227.0,ea.,WH-NEVADA,EA,0,227.0
MM-1002,2026-06,573,,EA,WH-NEVADA,EA,1,0.0
MM-1002,2026-07,0,,ea.,WH-NEVADA,EA,1,0.0
MM-1003,2025-08,1841,162.0,each,WH-OHIO,EA,0,162.0
MM-1003,2025-09,1872,303.0,Each,WH-OHIO,EA,0,303.0
MM-1003,2025-10,0,168.0,Each,WH-OHIO,EA,0,168.0
MM-1003,2025-11,2406,158.0,ea.,WH-OHIO,EA,0,158.0
MM-1003,2025-12,2269,,ea.,WH-OHIO,EA,1,0.0
MM-1003,2026-01,2400,260.0,ea.,WH-OHIO,EA,0,260.0
MM-1003,2026-02,1962,18.0,Each,WH-OHIO,EA,0,18.0
MM-1003,2026-03,1962,,EA,WH-OHIO,EA,1,0.0
MM-1003,2026-04,2384,286.0,each,WH-OHIO,EA,0,286.0
MM-1003,2026-05,1874,21.0,Each,WH-OHIO,EA,0,21.0
MM-1003,2026-06,1917,39.0,EA,WH-OHIO,EA,0,39.0
MM-1003,2026-07,1982,222.0,Each,WH-OHIO,EA,0,222.0
MM-1004,2025-08,768,65.0,ea.,WH-OHIO,EA,0,65.0
MM-1004,2025-09,0,18.0,Each,WH-OHIO,EA,0,18.0
MM-1004,2025-10,965,172.0,ea.,WH-OHIO,EA,0,172.0
MM-1004,2025-11,642,233.0,ea.,WH-OHIO,EA,0,233.0
MM-1004,2025-12,585,208.0,ea.,WH-OHIO,EA,0,208.0
MM-1004,2026-01,728,42.0,Each,WH-OHIO,EA,0,42.0
MM-1004,2026-02,800,256.0,each,WH-OHIO,EA,0,256.0
MM-1004,2026-03,939,,ea.,WH-OHIO,EA,1,0.0
MM-1004,2026-04,634,297.0,each,WH-OHIO,EA,0,297.0
MM-1004,2026-05,669,254.0,EA,WH-OHIO,EA,0,254.0
MM-1004,2026-06,877,231.0,each,WH-OHIO,EA,0,231.0
MM-1004,2026-07,731,267.0,Each,WH-OHIO,EA,0,267.0
MM-1005,2025-08,356,,EA,WH-OHIO,EA,1,0.0
MM-1005,2025-09,304,131.0,Each,WH-OHIO,EA,0,131.0
MM-1005,2025-10,247,7.0,Each,WH-OHIO,EA,0,7.0
MM-1005,2025-11,245,111.0,ea.,WH-OHIO,EA,0,111.0
MM-1005,2025-12,0,,each,WH-OHIO,EA,1,0.0
MM-1005,2026-01,274,88.0,EA,WH-OHIO,EA,0,88.0
MM-1005,2026-02,287,20.0,EA,WH-OHIO,EA,0,20.0
MM-1005,2026-03,222,129.0,ea.,WH-OHIO,EA,0,129.0
MM-1005,2026-04,324,118.0,ea.,WH-OHIO,EA,0,118.0
MM-1005,2026-05,272,6.0,Each,WH-OHIO,EA,0,6.0
MM-1005,2026-06,386,65.0,Each,WH-OHIO,EA,0,65.0
MM-1005,2026-07,308,3.0,EA,WH-OHIO,EA,0,3.0
MM-1006,2025-08,866,107.0,ea.,WH-TEXAS,EA,0,107.0
MM-1006,2025-09,830,,each,WH-TEXAS,EA,1,0.0
MM-1006,2025-10,750,311.0,ea.,WH-TEXAS,EA,0,311.0
MM-1006,2025-11,625,212.0,ea.,WH-TEXAS,EA,0,212.0
MM-1006,2025-12,983,208.0,ea.,WH-TEXAS,EA,0,208.0
MM-1006,2026-01,0,210.0,Each,WH-TEXAS,EA,0,210.0
MM-1006,2026-02,946,147.0,each,WH-TEXAS,EA,0,147.0
MM-1006,2026-03,928,278.0,each,WH-TEXAS,EA,0,278.0
MM-1006,2026-04,606,171.0,Each,WH-TEXAS,EA,0,171.0
MM-1006,2026-05,956,34.0,EA,WH-TEXAS,EA,0,34.0
MM-1006,2026-06,780,275.0,Each,WH-TEXAS,EA,0,275.0
MM-1006,2026-07,562,199.0,ea.,WH-TEXAS,EA,0,199.0
MM-1007,2025-08,206,138.0,Each,WH-TEXAS,EA,0,138.0
MM-1007,2025-09,0,94.0,ea.,WH-TEXAS,EA,0,94.0
MM-1007,2025-10,0,55.0,ea.,WH-TEXAS,EA,0,55.0
MM-1007,2025-11,191,45.0,each,WH-TEXAS,EA,0,45.0
MM-1007,2025-12,253,133.0,EA,WH-TEXAS,EA,0,133.0
MM-1007,2026-01,247,43.0,ea.,WH-TEXAS,EA,0,43.0
MM-1007,2026-02,194,88.0,each,WH-TEXAS,EA,0,88.0
MM-1007,2026-03,164,158.0,each,WH-TEXAS,EA,0,158.0
MM-1007,2026-04,159,,EA,WH-TEXAS,EA,1,0.0
MM-1007,2026-05,217,50.0,each,WH-TEXAS,EA,0,50.0
MM-1007,2026-06,0,52.0,ea.,WH-TEXAS,EA,0,52.0
MM-1007,2026-07,0,0.0,Each,WH-TEXAS,EA,0,0.0
MM-1008,2025-08,462,5.0,each,WH-OHIO,EA,0,5.0
MM-1008,2025-09,515,51.0,ea.,WH-OHIO,EA,0,51.0
MM-1008,2025-10,436,7.0,ea.,WH-OHIO,EA,0,7.0
MM-1008,2025-11,416,164.0,ea.,WH-OHIO,EA,0,164.0
MM-1008,2025-12,481,154.0,EA,WH-OHIO,EA,0,154.0
MM-1008,2026-01,0,14.0,each,WH-OHIO,EA,0,14.0
MM-1008,2026-02,482,126.0,each,WH-OHIO,EA,0,126.0
MM-1008,2026-03,399,121.0,EA,WH-OHIO,EA,0,121.0
MM-1008,2026-04,397,38.0,ea.,WH-OHIO,EA,0,38.0
MM-1008,2026-05,512,34.0,ea.,WH-OHIO,EA,0,34.0
MM-1008,2026-06,427,185.0,Each,WH-OHIO,EA,0,185.0
MM-1008,2026-07,446,160.0,ea.,WH-OHIO,EA,0,160.0
MM-1009,2025-08,495,237.0,EA,WH-OHIO,EA,0,237.0
MM-1009,2025-09,363,48.0,Each,WH-OHIO,EA,0,48.0
MM-1009,2025-10,410,329.0,each,WH-OHIO,EA,0,329.0
MM-1009,2025-11,504,218.0,Each,WH-OHIO,EA,0,218.0
MM-1009,2025-12,0,93.0,ea.,WH-OHIO,EA,0,93.0
MM-1009,2026-01,0,114.0,each,WH-OHIO,EA,0,114.0
MM-1009,2026-02,298,242.0,Each,WH-OHIO,EA,0,242.0
MM-1009,2026-03,0,70.0,EA,WH-OHIO,EA,0,70.0
MM-1009,2026-04,294,349.0,EA,WH-OHIO,EA,0,349.0
MM-1009,2026-05,337,163.0,EA,WH-OHIO,EA,0,163.0
MM-1009,2026-06,315,146.0,ea.,WH-OHIO,EA,0,146.0
MM-1009,2026-07,500,201.0,Each,WH-OHIO,EA,0,201.0
MM-1010,2025-08,389,,EA,WH-TEXAS,EA,1,0.0
MM-1010,2025-09,378,67.0,Each,WH-TEXAS,EA,0,67.0
MM-1010,2025-10,318,7.0,ea.,WH-TEXAS,EA,0,7.0
MM-1010,2025-11,439,22.0,Each,WH-TEXAS,EA,0,22.0
MM-1010,2025-12,0,186.0,EA,WH-TEXAS,EA,0,186.0
MM-1010,2026-01,0,145.0,ea.,WH-TEXAS,EA,0,145.0
MM-1010,2026-02,349,169.0,ea.,WH-TEXAS,EA,0,169.0
MM-1010,2026-03,393,143.0,ea.,WH-TEXAS,EA,0,143.0
MM-1010,2026-04,441,94.0,ea.,WH-TEXAS,EA,0,94.0
MM-1010,2026-05,466,88.0,ea.,WH-TEXAS,EA,0,88.0
MM-1010,2026-06,312,17.0,Each,WH-TEXAS,EA,0,17.0
MM-1010,2026-07,320,157.0,Each,WH-TEXAS,EA,0,157.0
MM-1011,2025-08,837,145.0,EA,WH-NEVADA,EA,0,145.0
MM-1011,2025-09,808,187.0,EA,WH-NEVADA,EA,0,187.0
MM-1011,2025-10,859,,each,WH-NEVADA,EA,1,0.0
MM-1011,2025-11,952,254.0,ea.,WH-NEVADA,EA,0,254.0
MM-1011,2025-12,1006,99.0,Each,WH-NEVADA,EA,0,99.0
MM-1011,2026-01,924,21.0,Each,WH-NEVADA,EA,0,21.0
MM-1011,2026-02,664,327.0,EA,WH-NEVADA,EA,0,327.0
MM-1011,2026-03,598,,each,WH-NEVADA,EA,1,0.0
MM-1011,2026-04,983,83.0,Each,WH-NEVADA,EA,0,83.0
MM-1011,2026-05,739,388.0,EA,WH-NEVADA,EA,0,388.0
MM-1011,2026-06,1041,,each,WH-NEVADA,EA,1,0.0
MM-1011,2026-07,806,387.0,ea.,WH-NEVADA,EA,0,387.0
MM-1012,2025-08,344,18.0,each,WH-OHIO,EA,0,18.0
MM-1012,2025-09,342,0.0,EA,WH-OHIO,EA,0,0.0
MM-1012,2025-10,0,,Each,WH-OHIO,EA,1,0.0
MM-1012,2025-11,236,54.0,each,WH-OHIO,EA,0,54.0
MM-1012,2025-12,393,79.0,Each,WH-OHIO,EA,0,79.0
MM-1012,2026-01,280,11.0,EA,WH-OHIO,EA,0,11.0
MM-1012,2026-02,223,78.0,each,WH-OHIO,EA,0,78.0
MM-1012,2026-03,254,39.0,each,WH-OHIO,EA,0,39.0
MM-1012,2026-04,303,4.0,ea.,WH-OHIO,EA,0,4.0
MM-1012,2026-05,374,33.0,each,WH-OHIO,EA,0,33.0
MM-1012,2026-06,329,56.0,each,WH-OHIO,EA,0,56.0
MM-1012,2026-07,398,1.0,EA,WH-OHIO,EA,0,1.0
MM-1013,2025-08,399,61.0,EA,WH-TEXAS,EA,0,61.0
MM-1013,2025-09,435,89.0,ea.,WH-TEXAS,EA,0,89.0
MM-1013,2025-10,454,131.0,EA,WH-TEXAS,EA,0,131.0
MM-1013,2025-11,429,73.0,each,WH-TEXAS,EA,0,73.0
MM-1013,2025-12,0,,ea.,WH-TEXAS,EA,1,0.0
MM-1013,2026-01,307,94.0,each,WH-TEXAS,EA,0,94.0
MM-1013,2026-02,363,30.0,Each,WH-TEXAS,EA,0,30.0
MM-1013,2026-03,303,45.0,Each,WH-TEXAS,EA,0,45.0
MM-1013,2026-04,300,,each,WH-TEXAS,EA,1,0.0
MM-1013,2026-05,379,5.0,each,WH-TEXAS,EA,0,5.0
MM-1013,2026-06,477,171.0,Each,WH-TEXAS,EA,0,171.0
MM-1013,2026-07,298,53.0,EA,WH-TEXAS,EA,0,53.0
MM-1014,2025-08,237,84.0,ft,WH-TEXAS,FT,0,84.0
MM-1014,2025-09,289,97.0,FT,WH-TEXAS,FT,0,97.0
MM-1014,2025-10,221,86.0,ft,WH-TEXAS,FT,0,86.0
MM-1014,2025-11,340,16.0,FT,WH-TEXAS,FT,0,16.0
MM-1014,2025-12,363,40.0,Feet,WH-TEXAS,FT,0,40.0
MM-1014,2026-01,241,69.0,FT,WH-TEXAS,FT,0,69.0
MM-1014,2026-02,345,71.0,FT,WH-TEXAS,FT,0,71.0
MM-1014,2026-03,226,102.0,Feet,WH-TEXAS,FT,0,102.0
MM-1014,2026-04,216,31.0,ft,WH-TEXAS,FT,0,31.0
MM-1014,2026-05,274,135.0,Feet,WH-TEXAS,FT,0,135.0
MM-1014,2026-06,321,132.0,FT,WH-TEXAS,FT,0,132.0
MM-1014,2026-07,261,39.0,ft,WH-TEXAS,FT,0,39.0
MM-1015,2025-08,1252,265.0,ea.,WH-TEXAS,EA,0,265.0
MM-1015,2025-09,1742,291.0,Each,WH-TEXAS,EA,0,291.0
MM-1015,2025-10,1195,268.0,Each,WH-TEXAS,EA,0,268.0
MM-1015,2025-11,1226,20.0,EA,WH-TEXAS,EA,0,20.0
MM-1015,2025-12,1537,220.0,each,WH-TEXAS,EA,0,220.0
MM-1015,2026-01,1649,84.0,Each,WH-TEXAS,EA,0,84.0
MM-1015,2026-02,1944,87.0,each,WH-TEXAS,EA,0,87.0
MM-1015,2026-03,1276,264.0,EA,WH-TEXAS,EA,0,264.0
MM-1015,2026-04,1496,87.0,EA,WH-TEXAS,EA,0,87.0
MM-1015,2026-05,0,118.0,each,WH-TEXAS,EA,0,118.0
MM-1015,2026-06,1623,,EA,WH-TEXAS,EA,1,0.0
MM-1015,2026-07,1846,152.0,EA,WH-TEXAS,EA,0,152.0
MM-1016,2025-08,488,43.0,pcs,WH-TEXAS,PCS,0,43.0
MM-1016,2025-09,311,64.0,pcs,WH-TEXAS,PCS,0,64.0
MM-1016,2025-10,489,1.0,pcs,WH-TEXAS,PCS,0,1.0
MM-1016,2025-11,439,115.0,PCS,WH-TEXAS,PCS,0,115.0
MM-1016,2025-12,384,119.0,PCS,WH-TEXAS,PCS,0,119.0
MM-1016,2026-01,429,32.0,Pcs,WH-TEXAS,PCS,0,32.0
MM-1016,2026-02,455,136.0,PCS,WH-TEXAS,PCS,0,136.0
MM-1016,2026-03,329,40.0,Pcs,WH-TEXAS,PCS,0,40.0
MM-1016,2026-04,342,94.0,Pcs,WH-TEXAS,PCS,0,94.0
MM-1016,2026-05,376,162.0,pcs,WH-TEXAS,PCS,0,162.0
MM-1016,2026-06,422,84.0,Pcs,WH-TEXAS,PCS,0,84.0
MM-1016,2026-07,412,,PCS,WH-TEXAS,PCS,1,0.0
MM-1017,2025-08,1354,73.0,EA,WH-OHIO,EA,0,73.0
MM-1017,2025-09,1086,281.0,EA,WH-OHIO,EA,0,281.0
MM-1017,2025-10,1187,90.0,EA,WH-OHIO,EA,0,90.0
MM-1017,2025-11,1118,58.0,each,WH-OHIO,EA,0,58.0
MM-1017,2025-12,1272,44.0,ea.,WH-OHIO,EA,0,44.0
MM-1017,2026-01,1154,202.0,ea.,WH-OHIO,EA,0,202.0
MM-1017,2026-02,1069,111.0,each,WH-OHIO,EA,0,111.0
MM-1017,2026-03,1672,229.0,EA,WH-OHIO,EA,0,229.0
MM-1017,2026-04,1337,126.0,Each,WH-OHIO,EA,0,126.0
MM-1017,2026-05,1339,82.0,Each,WH-OHIO,EA,0,82.0
MM-1017,2026-06,1214,64.0,Each,WH-OHIO,EA,0,64.0
MM-1017,2026-07,1268,,ea.,WH-OHIO,EA,1,0.0
MM-1018,2025-08,869,105.0,ea.,WH-OHIO,EA,0,105.0
MM-1018,2025-09,1058,132.0,EA,WH-OHIO,EA,0,132.0
MM-1018,2025-10,1019,299.0,ea.,WH-OHIO,EA,0,299.0
MM-1018,2025-11,950,8.0,ea.,WH-OHIO,EA,0,8.0
MM-1018,2025-12,888,104.0,each,WH-OHIO,EA,0,104.0
MM-1018,2026-01,1100,221.0,ea.,WH-OHIO,EA,0,221.0
MM-1018,2026-02,705,217.0,ea.,WH-OHIO,EA,0,217.0
MM-1018,2026-03,670,225.0,each,WH-OHIO,EA,0,225.0
MM-1018,2026-04,945,15.0,Each,WH-OHIO,EA,0,15.0
MM-1018,2026-05,758,353.0,EA,WH-OHIO,EA,0,353.0
MM-1018,2026-06,761,316.0,Each,WH-OHIO,EA,0,316.0
MM-1018,2026-07,671,,ea.,WH-OHIO,EA,1,0.0
MM-1019,2025-08,1711,425.0,BOX,WH-OHIO,BOX,0,425.0
MM-1019,2025-09,1980,221.0,Box,WH-OHIO,BOX,0,221.0
MM-1019,2025-10,1805,,box,WH-OHIO,BOX,1,0.0
MM-1019,2025-11,1369,,Box,WH-OHIO,BOX,1,0.0
MM-1019,2025-12,1737,138.0,BOX,WH-OHIO,BOX,0,138.0
MM-1019,2026-01,2083,190.0,Box,WH-OHIO,BOX,0,190.0
MM-1019,2026-02,1516,57.0,Box,WH-OHIO,BOX,0,57.0
MM-1019,2026-03,1863,383.0,box,WH-OHIO,BOX,0,383.0
MM-1019,2026-04,1202,2.0,BOX,WH-OHIO,BOX,0,2.0
MM-1019,2026-05,1677,176.0,Box,WH-OHIO,BOX,0,176.0
